city,lat,lng,country,iso2,capital,population,population_proper
Boumehen,35.7314,51.8675,Iran,IR,,79034,79034
Māhdāsht,35.7194,50.7978,Iran,IR,,62910,62910
Mahdasht,35.7469,50.9361,Iran,IR,,62005,62005
Chahār Dangeh,35.5958,51.3083,Iran,IR,,49950,49950
Darcheh,32.6131,51.5531,Iran,IR,,43183,43183
Eshtehārd,35.7247,50.3717,Iran,IR,minor,29993,29993
Sardrūd,38.0286,46.1475,Iran,IR,,29739,29739
Garmdarreh,35.7478,51.0678,Iran,IR,,22726,22726
"Morteẕá Gerd",35.6019,51.3486,Iran,IR,,15506,15506
Khomām,37.3911,49.6597,Iran,IR,,12901,12901
Basmenj,37.9964,46.4717,Iran,IR,,12692,12692
Sangar,37.1797,49.6942,Iran,IR,,12583,12583
Kushk,32.6419,51.4997,Iran,IR,,11264,11264
Hamadānak,35.5422,51.1383,Iran,IR,,11216,11216
Lasht-e Neshā,37.3608,49.8611,Iran,IR,,10539,10539
Kouchesfahan,37.2783,49.7728,Iran,IR,,10026,10026
Shahrak-e Pārs,35.6081,51.3808,Iran,IR,,8625,8625
Kond Rūd,38.0094,46.4794,Iran,IR,,8518,8518
Shahrak-e Goldasteh,35.6031,51.27,Iran,IR,,7602,7602
Mayan-e Paein,38.0864,46.1036,Iran,IR,,6596,6596
Liqvan,37.8344,46.43,Iran,IR,,5350,5350
Ravājīr,37.1892,49.5886,Iran,IR,,4728,4728
Ali Abad,35.5228,51.2044,Iran,IR,,4562,4562
Shadabad-e Mashayekh,37.9892,46.3586,Iran,IR,,4317,4317
Fakhab,37.3111,49.5639,Iran,IR,,3851,3851
Beyraq,37.8872,46.4683,Iran,IR,,3703,3703
Hasan Abad-e Loqmani,35.6189,51.1947,Iran,IR,,3568,3568
Sefīdān-e Jadīd,38.2819,46.34,Iran,IR,,3515,3515
Shahrak-e Dānesh,35.6947,51.1819,Iran,IR,,3402,3402
Loulaman,37.2783,49.7728,Iran,IR,,3175,3175
Haft Jūy,35.72,51.0553,Iran,IR,,3137,3137
Tiranchi,32.63,51.5219,Iran,IR,,3122,3122
Bala Mahalle-ye Choukam,37.3822,49.6156,Iran,IR,,3096,3096
Talem Se Shanbeh,37.1617,49.6828,Iran,IR,,2687,2687
Chichaklou,35.5636,51.2053,Iran,IR,,2656,2656
Kazh Deh,37.2981,49.62,Iran,IR,,2623,2623
Bagh Komish,35.7033,51.7847,Iran,IR,,2566,2566
Roud Bardeh,37.2078,49.6978,Iran,IR,,2563,2563
Shams-e Bījār,37.3103,49.5997,Iran,IR,,2494,2494
Shahrak-e Golrīz,35.6089,51.3622,Iran,IR,,2356,2356
Mesgarābād,35.6272,51.5128,Iran,IR,,2265,2265
Mayan-e Bala,38.1061,46.1128,Iran,IR,,2244,2244
Sheykh Ḩasan,38.0214,46.1061,Iran,IR,,2240,2240
Sefīdeh Khān,37.8314,46.4022,Iran,IR,,2213,2213
Nowjeh Deh,38.0475,46.0406,Iran,IR,,2057,2057
Zarnaq,37.9811,46.4303,Iran,IR,,2036,2036
Nemat Abad,38.0122,46.4564,Iran,IR,,2020,2020
Lecheh Gūrāb,37.2797,49.6639,Iran,IR,,2013,2013
Tazeh Kand,37.98,46.0011,Iran,IR,,1980,1980
Vishkanak,37.2211,49.7061,Iran,IR,,1965,1965
Kolā Chāh-e Avval,37.3692,49.7053,Iran,IR,,1926,1926
Shad Abad-e oulia,37.9825,46.4208,Iran,IR,,1884,1884
Gile Pardesar,37.2081,49.6653,Iran,IR,,1865,1865
Khvāchekīn,37.3781,49.65,Iran,IR,,1824,1824
